container_restart_count,deployment_available_replicas,deployment_replicas,hpa_current_cpu_utilization,hpa_current_replicas,hpa_desired_replicas,hpa_efficiency,hpa_target_cpu_utilization,http_error_rate,http_request_rate,http_response_time_mean,http_response_time_p50,http_response_time_p90,http_response_time_p99,http_response_time_std,http_success_rate,label,network_drop_in,network_drop_out,network_errors_in,network_errors_out,network_in,network_out,network_packets_in,network_packets_out,pod_count,pod_count_mean_3,pod_cpu_usage_cores,pod_cpu_usage_cores_mean_3,pod_cpu_usage_cores_std_3,pod_failed_count,pod_memory_usage_bytes,pod_pending_count,pod_ready_count,pod_restart_count
0,1,1,0,2,4,0.5,50,0.0,12.217420534265138,0.0818503379821777,0.0903534889221191,0.0968371868133544,0.097889986038208,0.0184666073728934,1.0,ATTACK,0,0,0,0,20957255462,2894653961,16276252,5883705,4,2.6666666666666665,0.068,0.053,0.0268514431641951,0,9437184,0,4,0
0,1,1,0,4,5,0.8,50,0.0,12.929962538503464,0.0773397445678711,0.0786304473876953,0.0931179523468017,0.0951109409332275,0.0140949022983006,1.0,ATTACK,0,0,0,0,20957275950,2894672254,16276338,5883830,5,3.6666666666666665,0.068,0.0683333333333333,0.0005773502691897,0,9437184,0,5,0
0,1,1,0,5,5,1.0,50,0.0,67.41996669431424,0.0148324012756347,0.0143957138061523,0.017103624343872,0.0181239795684814,0.0019189374150578,1.0,NORMAL,0,0,0,0,20957280366,2894686366,16276406,5883949,5,4.666666666666667,0.095,0.077,0.0155884572681199,0,18874368,0,5,0
0,1,1,0,5,5,1.0,50,0.0,64.95928336239821,0.0153942584991455,0.0100326538085937,0.0248692512512207,0.0274070072174072,0.0075047838139176,1.0,NORMAL,0,0,0,0,20957283954,2894696957,16276458,5884037,5,5.0,0.034,0.0656666666666666,0.030566866593312,0,23068672,0,5,0
0,1,1,0,5,5,1.0,50,0.0,56.81922122397668,0.0175996780395507,0.0107312202453613,0.0296507358551025,0.0325747299194335,0.0095366080949278,1.0,NORMAL,0,0,0,0,20957287266,2894707791,16276509,5884127,5,5.0,0.005,0.0446666666666666,0.045938364504337,0,23068672,0,5,0
0,1,1,0,5,5,1.0,50,0.0,94.1960231228412,0.0106161594390869,0.010512351989746,0.0113574981689453,0.0115422916412353,0.0006264884604142,1.0,NORMAL,0,0,0,0,20957290842,2894719189,16276563,5884221,5,5.0,0.005,0.0146666666666666,0.0167431578064991,0,23068672,0,5,0
0,1,1,0,5,5,1.0,50,0.0,66.8440545933231,0.0149601936340332,0.0131690502166748,0.0216862201690673,0.0227712059020996,0.0055088419186034,1.0,NORMAL,0,0,0,0,20957294608,2894729799,16276615,5884309,5,5.0,0.005,0.005,0.0,0,23068672,0,5,0
0,1,1,0,5,5,1.0,50,0.0,74.15488301208951,0.0134852886199951,0.0106952190399169,0.0199510097503662,0.0239229106903076,0.0056494408666889,1.0,NORMAL,0,0,0,0,20957298528,2894740437,16276666,5884397,5,5.0,0.005,0.005,0.0,0,23068672,0,5,0
0,1,1,0,5,5,1.0,50,0.0,10.808451730644247,0.0925201892852783,0.0824503898620605,0.1404310703277587,0.1529753112792968,0.0395138191661372,1.0,ATTACK,0,0,0,0,20957302053,2894751998,16276720,5884492,5,5.0,0.005,0.005,0.0,0,23068672,0,5,0
0,1,1,0,5,5,1.0,50,0.0,12.518344880773943,0.0798827648162841,0.0745277404785156,0.1060834407806396,0.1203031826019287,0.0228495519508845,1.0,ATTACK,0,0,0,0,20957305425,2894763848,16276772,5884583,5,5.0,0.005,0.005,0.0,0,23068672,0,5,0
